onset	duration	sample	unit_id	event_type
6.4053	0.0	13118	0	motor-unit-spike
6.4316	0.0	13172	1	motor-unit-spike
6.5522	0.0	13419	1	motor-unit-spike
7.4731	0.0	15305	0	motor-unit-spike
7.8491	0.0	16075	2	motor-unit-spike
8.0864	0.0	16561	2	motor-unit-spike
8.1523	0.0	16696	2	motor-unit-spike
8.6514	0.0	17718	0	motor-unit-spike
8.7339	0.0	17887	2	motor-unit-spike
8.8369	0.0	18098	3	motor-unit-spike
8.9351	0.0	18299	3	motor-unit-spike
8.9761	0.0	18383	4	motor-unit-spike
9.0728	0.0	18581	2	motor-unit-spike
9.3145	0.0	19076	1	motor-unit-spike
9.4585	0.0	19371	4	motor-unit-spike
9.4961	0.0	19448	1	motor-unit-spike
9.6479	0.0	19759	3	motor-unit-spike
9.9604	0.0	20399	2	motor-unit-spike
10.0103	0.0	20501	2	motor-unit-spike
10.0615	0.0	20606	4	motor-unit-spike
10.1616	0.0	20811	3	motor-unit-spike
10.2114	0.0	20913	3	motor-unit-spike
10.4663	0.0	21435	2	motor-unit-spike
10.5132	0.0	21531	0	motor-unit-spike
10.5161	0.0	21537	2	motor-unit-spike
10.5977	0.0	21704	2	motor-unit-spike
10.6558	0.0	21823	3	motor-unit-spike
10.7412	0.0	21998	2	motor-unit-spike
10.8306	0.0	22181	1	motor-unit-spike
10.8364	0.0	22193	3	motor-unit-spike
11.0044	0.0	22537	0	motor-unit-spike
11.0718	0.0	22675	1	motor-unit-spike
11.1216	0.0	22777	1	motor-unit-spike
11.2036	0.0	22945	3	motor-unit-spike
11.3164	0.0	23176	0	motor-unit-spike
11.4121	0.0	23372	1	motor-unit-spike
11.5322	0.0	23618	3	motor-unit-spike
11.5337	0.0	23621	1	motor-unit-spike
11.582	0.0	23720	3	motor-unit-spike
11.646	0.0	23851	4	motor-unit-spike
11.854	0.0	24277	4	motor-unit-spike
12.0615	0.0	24702	1	motor-unit-spike
