onset	duration	sample	unit_id	description
5.9102	0.0	12104	1	motor-unit-spike
5.957	0.0	12200	0	motor-unit-spike
6.0405	0.0	12371	0	motor-unit-spike
6.2314	0.0	12762	1	motor-unit-spike
6.2812	0.0	12864	1	motor-unit-spike
6.6411	0.0	13601	4	motor-unit-spike
6.8857	0.0	14102	4	motor-unit-spike
7.0269	0.0	14391	5	motor-unit-spike
7.7881	0.0	15950	2	motor-unit-spike
7.8594	0.0	16096	1	motor-unit-spike
8.1094	0.0	16608	2	motor-unit-spike
8.1094	0.0	16608	0	motor-unit-spike
8.2227	0.0	16840	6	motor-unit-spike
8.3501	0.0	17101	5	motor-unit-spike
8.3828	0.0	17168	4	motor-unit-spike
8.4341	0.0	17273	3	motor-unit-spike
8.4531	0.0	17312	7	motor-unit-spike
8.4585	0.0	17323	0	motor-unit-spike
8.5063	0.0	17421	2	motor-unit-spike
8.645	0.0	17705	7	motor-unit-spike
8.686	0.0	17789	8	motor-unit-spike
8.7588	0.0	17938	0	motor-unit-spike
8.8159	0.0	18055	4	motor-unit-spike
8.8232	0.0	18070	6	motor-unit-spike
8.8579	0.0	18141	5	motor-unit-spike
8.8931	0.0	18213	7	motor-unit-spike
8.8984	0.0	18224	3	motor-unit-spike
8.9429	0.0	18315	7	motor-unit-spike
8.9761	0.0	18383	8	motor-unit-spike
8.9985	0.0	18429	4	motor-unit-spike
9.0137	0.0	18460	3	motor-unit-spike
9.0532	0.0	18541	8	motor-unit-spike
9.1299	0.0	18698	9	motor-unit-spike
9.1357	0.0	18710	3	motor-unit-spike
9.2031	0.0	18848	5	motor-unit-spike
9.209	0.0	18860	6	motor-unit-spike
9.3037	0.0	19054	3	motor-unit-spike
9.4385	0.0	19330	4	motor-unit-spike
9.4385	0.0	19330	3	motor-unit-spike
9.5581	0.0	19575	2	motor-unit-spike
9.6953	0.0	19856	9	motor-unit-spike
9.7827	0.0	20035	9	motor-unit-spike
9.8101	0.0	20091	6	motor-unit-spike
9.8613	0.0	20196	3	motor-unit-spike
9.8799	0.0	20234	4	motor-unit-spike
9.9111	0.0	20298	3	motor-unit-spike
9.9336	0.0	20344	2	motor-unit-spike
9.9673	0.0	20413	9	motor-unit-spike
9.9688	0.0	20416	7	motor-unit-spike
9.9868	0.0	20453	8	motor-unit-spike
10.0283	0.0	20538	9	motor-unit-spike
10.0669	0.0	20617	5	motor-unit-spike
10.1206	0.0	20727	6	motor-unit-spike
10.1699	0.0	20828	9	motor-unit-spike
10.2856	0.0	21065	8	motor-unit-spike
10.3472	0.0	21191	4	motor-unit-spike
10.4492	0.0	21400	7	motor-unit-spike
10.5322	0.0	21570	5	motor-unit-spike
10.5469	0.0	21600	0	motor-unit-spike
10.6484	0.0	21808	7	motor-unit-spike
10.6631	0.0	21838	1	motor-unit-spike
10.7817	0.0	22081	1	motor-unit-spike
10.96	0.0	22446	7	motor-unit-spike
10.9609	0.0	22448	6	motor-unit-spike
10.9648	0.0	22456	9	motor-unit-spike
11.0327	0.0	22595	7	motor-unit-spike
11.1914	0.0	22920	7	motor-unit-spike
11.2412	0.0	23022	7	motor-unit-spike
11.2798	0.0	23101	9	motor-unit-spike
11.2988	0.0	23140	3	motor-unit-spike
11.3032	0.0	23149	1	motor-unit-spike
11.3071	0.0	23157	0	motor-unit-spike
11.3115	0.0	23166	7	motor-unit-spike
11.3613	0.0	23268	7	motor-unit-spike
11.4272	0.0	23403	9	motor-unit-spike
11.4297	0.0	23408	3	motor-unit-spike
11.4365	0.0	23422	4	motor-unit-spike
11.4482	0.0	23446	7	motor-unit-spike
11.481	0.0	23513	9	motor-unit-spike
11.5132	0.0	23579	6	motor-unit-spike
11.5269	0.0	23607	5	motor-unit-spike
11.5527	0.0	23660	9	motor-unit-spike
11.6025	0.0	23762	9	motor-unit-spike
11.6187	0.0	23795	5	motor-unit-spike
11.6401	0.0	23839	0	motor-unit-spike
11.6465	0.0	23852	4	motor-unit-spike
11.6938	0.0	23949	6	motor-unit-spike
11.7168	0.0	23996	3	motor-unit-spike
11.8042	0.0	24175	4	motor-unit-spike
11.9072	0.0	24386	2	motor-unit-spike
11.9727	0.0	24520	4	motor-unit-spike
12.0078	0.0	24592	5	motor-unit-spike
12.0151	0.0	24607	7	motor-unit-spike
12.0649	0.0	24709	7	motor-unit-spike
12.1147	0.0	24811	7	motor-unit-spike
12.1313	0.0	24845	8	motor-unit-spike
12.1592	0.0	24902	5	motor-unit-spike
12.1763	0.0	24937	1	motor-unit-spike
12.1807	0.0	24946	3	motor-unit-spike
12.2261	0.0	25039	1	motor-unit-spike
12.2759	0.0	25141	1	motor-unit-spike
12.2847	0.0	25159	5	motor-unit-spike
12.3252	0.0	25242	7	motor-unit-spike
12.3667	0.0	25327	8	motor-unit-spike
12.375	0.0	25344	7	motor-unit-spike
12.3887	0.0	25372	5	motor-unit-spike
12.4165	0.0	25429	8	motor-unit-spike
12.4419	0.0	25481	3	motor-unit-spike
12.5361	0.0	25674	4	motor-unit-spike
12.5562	0.0	25715	7	motor-unit-spike
12.6079	0.0	25821	4	motor-unit-spike
12.7085	0.0	26027	1	motor-unit-spike
12.71	0.0	26030	3	motor-unit-spike
12.7178	0.0	26046	7	motor-unit-spike
12.7646	0.0	26142	5	motor-unit-spike
12.7754	0.0	26164	7	motor-unit-spike
12.8145	0.0	26244	5	motor-unit-spike
12.918	0.0	26456	7	motor-unit-spike
12.9395	0.0	26500	3	motor-unit-spike
12.9482	0.0	26518	2	motor-unit-spike
12.998	0.0	26620	2	motor-unit-spike
13.2256	0.0	27086	9	motor-unit-spike
13.2754	0.0	27188	9	motor-unit-spike
13.6074	0.0	27868	6	motor-unit-spike
13.6367	0.0	27928	5	motor-unit-spike
13.707	0.0	28072	1	motor-unit-spike
13.7661	0.0	28193	1	motor-unit-spike
13.79	0.0	28242	7	motor-unit-spike
13.7925	0.0	28247	3	motor-unit-spike
13.8862	0.0	28439	5	motor-unit-spike
13.9404	0.0	28550	7	motor-unit-spike
13.9824	0.0	28636	2	motor-unit-spike
14.1396	0.0	28958	7	motor-unit-spike
14.1641	0.0	29008	5	motor-unit-spike
14.2251	0.0	29133	0	motor-unit-spike
14.2285	0.0	29140	2	motor-unit-spike
14.2393	0.0	29162	7	motor-unit-spike
14.3672	0.0	29424	1	motor-unit-spike
14.4097	0.0	29511	8	motor-unit-spike
14.4438	0.0	29581	0	motor-unit-spike
14.5493	0.0	29797	2	motor-unit-spike
14.563	0.0	29825	3	motor-unit-spike
14.5781	0.0	29856	7	motor-unit-spike
14.6162	0.0	29934	4	motor-unit-spike
14.6318	0.0	29966	5	motor-unit-spike
14.6978	0.0	30101	1	motor-unit-spike
14.7476	0.0	30203	1	motor-unit-spike
14.7983	0.0	30307	9	motor-unit-spike
14.8848	0.0	30484	9	motor-unit-spike
14.8901	0.0	30495	8	motor-unit-spike
14.9077	0.0	30531	2	motor-unit-spike
14.9189	0.0	30554	0	motor-unit-spike
14.9438	0.0	30605	4	motor-unit-spike
14.9688	0.0	30656	0	motor-unit-spike
14.9956	0.0	30711	3	motor-unit-spike
15.0615	0.0	30846	1	motor-unit-spike
15.0737	0.0	30871	8	motor-unit-spike
15.2461	0.0	31224	8	motor-unit-spike
15.4097	0.0	31559	1	motor-unit-spike
15.4277	0.0	31596	6	motor-unit-spike
15.5122	0.0	31769	9	motor-unit-spike
15.5571	0.0	31861	1	motor-unit-spike
15.5728	0.0	31893	7	motor-unit-spike
15.585	0.0	31918	2	motor-unit-spike
15.5908	0.0	31930	9	motor-unit-spike
15.6069	0.0	31963	1	motor-unit-spike
15.6406	0.0	32032	9	motor-unit-spike
15.6904	0.0	32134	9	motor-unit-spike
15.7393	0.0	32234	2	motor-unit-spike
15.7402	0.0	32236	4	motor-unit-spike
15.7593	0.0	32275	0	motor-unit-spike
15.8394	0.0	32439	8	motor-unit-spike
15.8428	0.0	32446	1	motor-unit-spike
15.8511	0.0	32463	0	motor-unit-spike
15.8892	0.0	32541	8	motor-unit-spike
15.9336	0.0	32632	9	motor-unit-spike
16.021	0.0	32811	8	motor-unit-spike
16.0239	0.0	32817	3	motor-unit-spike
16.0278	0.0	32825	0	motor-unit-spike
16.0635	0.0	32898	5	motor-unit-spike
16.147	0.0	33069	8	motor-unit-spike
16.1567	0.0	33089	4	motor-unit-spike
16.2549	0.0	33290	1	motor-unit-spike
16.3203	0.0	33424	2	motor-unit-spike
16.3813	0.0	33549	2	motor-unit-spike
16.4331	0.0	33655	9	motor-unit-spike
16.46	0.0	33710	2	motor-unit-spike
16.4678	0.0	33726	5	motor-unit-spike
16.4736	0.0	33738	4	motor-unit-spike
16.5098	0.0	33812	8	motor-unit-spike
16.5298	0.0	33853	4	motor-unit-spike
16.5312	0.0	33856	0	motor-unit-spike
16.541	0.0	33876	1	motor-unit-spike
16.5718	0.0	33939	3	motor-unit-spike
16.583	0.0	33962	7	motor-unit-spike
16.6777	0.0	34156	8	motor-unit-spike
16.7188	0.0	34240	6	motor-unit-spike
16.7871	0.0	34380	9	motor-unit-spike
16.853	0.0	34515	3	motor-unit-spike
16.8623	0.0	34534	5	motor-unit-spike
16.8799	0.0	34570	2	motor-unit-spike
16.918	0.0	34648	8	motor-unit-spike
16.9756	0.0	34766	2	motor-unit-spike
17.0127	0.0	34842	6	motor-unit-spike
17.0913	0.0	35003	4	motor-unit-spike
17.1719	0.0	35168	8	motor-unit-spike
17.1729	0.0	35170	6	motor-unit-spike
17.1772	0.0	35179	0	motor-unit-spike
17.1782	0.0	35181	1	motor-unit-spike
17.2217	0.0	35270	8	motor-unit-spike
17.2227	0.0	35272	6	motor-unit-spike
17.4233	0.0	35683	7	motor-unit-spike
17.4263	0.0	35689	8	motor-unit-spike
17.521	0.0	35883	5	motor-unit-spike
17.5249	0.0	35891	7	motor-unit-spike
17.5708	0.0	35985	5	motor-unit-spike
17.5806	0.0	36005	2	motor-unit-spike
17.5918	0.0	36028	9	motor-unit-spike
17.6079	0.0	36061	8	motor-unit-spike
17.6206	0.0	36087	5	motor-unit-spike
17.6812	0.0	36211	6	motor-unit-spike
17.7173	0.0	36285	7	motor-unit-spike
17.7373	0.0	36326	4	motor-unit-spike
17.7871	0.0	36428	4	motor-unit-spike
17.8413	0.0	36539	9	motor-unit-spike
17.8599	0.0	36577	4	motor-unit-spike
17.9238	0.0	36708	6	motor-unit-spike
17.9302	0.0	36721	9	motor-unit-spike
